CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03,Contas a Receber,12169422,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03.01,Clientes,11937366,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.03.02,Outras Contas a Receber,232056,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.04,Estoques,10913419,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.05,Ativos Biológicos,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06,Tributos a Recuperar,5814723,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.06.01,Tributos Correntes a Recuperar,5814723,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.07,Despesas Antecipadas,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08,Outros Ativos Circulantes,30759036,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.01,Ativos Não-Correntes a Venda,27994061,NA,dfp_cia_aberta_BPA_con_2016.csv
